"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Marital Status"	"Marital Status Code"	"Mother's Education"	"Mother's Education Code"	Births
	"Arizona"	"04"	"2004"	"2004"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	634
	"Arizona"	"04"	"2005"	"2005"	"Married"	"1"	"0 -  8 years"	"19176"	3515
	"Arizona"	"04"	"2005"	"2005"	"Married"	"1"	"9 - 11 years"	"19177"	6101
	"Arizona"	"04"	"2005"	"2005"	"Married"	"1"	"12 years"	"19178"	14060
	"Arizona"	"04"	"2005"	"2005"	"Married"	"1"	"13 - 15 years"	"19179"	13508
	"Arizona"	"04"	"2005"	"2005"	"Married"	"1"	"16 years and over"	"16+"	17150
	"Arizona"	"04"	"2005"	"2005"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	423
	"Arizona"	"04"	"2005"	"2005"	"Unmarried"	"2"	"0 -  8 years"	"19176"	4892
	"Arizona"	"04"	"2005"	"2005"	"Unmarried"	"2"	"9 - 11 years"	"19177"	13482
	"Arizona"	"04"	"2005"	"2005"	"Unmarried"	"2"	"12 years"	"19178"	14094
	"Arizona"	"04"	"2005"	"2005"	"Unmarried"	"2"	"13 - 15 years"	"19179"	6672
	"Arizona"	"04"	"2005"	"2005"	"Unmarried"	"2"	"16 years and over"	"16+"	1828
	"Arizona"	"04"	"2005"	"2005"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	474
	"Arizona"	"04"	"2006"	"2006"	"Married"	"1"	"0 -  8 years"	"19176"	3498
	"Arizona"	"04"	"2006"	"2006"	"Married"	"1"	"9 - 11 years"	"19177"	6219
	"Arizona"	"04"	"2006"	"2006"	"Married"	"1"	"12 years"	"19178"	15038
	"Arizona"	"04"	"2006"	"2006"	"Married"	"1"	"13 - 15 years"	"19179"	14182
	"Arizona"	"04"	"2006"	"2006"	"Married"	"1"	"16 years and over"	"16+"	17854
	"Arizona"	"04"	"2006"	"2006"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	549
	"Arizona"	"04"	"2006"	"2006"	"Unmarried"	"2"	"0 -  8 years"	"19176"	4918
	"Arizona"	"04"	"2006"	"2006"	"Unmarried"	"2"	"9 - 11 years"	"19177"	14614
	"Arizona"	"04"	"2006"	"2006"	"Unmarried"	"2"	"12 years"	"19178"	15491
	"Arizona"	"04"	"2006"	"2006"	"Unmarried"	"2"	"13 - 15 years"	"19179"	7455
	"Arizona"	"04"	"2006"	"2006"	"Unmarried"	"2"	"16 years and over"	"16+"	2051
